id,book,chapter,verse,language,sentence_length,number_words,clause_length
427086,Genesis,5,31,hbo,1,2,2.0
427087,Genesis,5,32,hbo,1,7,7.0
427088,Genesis,5,32,hbo,1,10,10.0
427089,Genesis,6,1,hbo,1,2,2.0
427091,Genesis,6,1,hbo,2,10,5.0
427092,Genesis,6,1,hbo,1,4,4.0
427094,Genesis,6,2,hbo,2,12,6.0
427096,Genesis,6,2,hbo,2,8,4.0
427097,Genesis,6,3,hbo,1,3,3.0
427099,Genesis,6,3,hbo,2,13,6.5
427100,Genesis,6,3,hbo,1,7,7.0
427103,Genesis,6,4,hbo,3,24,8.0
427104,Genesis,6,4,hbo,1,3,3.0
427107,Genesis,6,4,hbo,3,9,3.0
427110,Genesis,6,5,hbo,3,21,7.0
427111,Genesis,6,6,hbo,1,3,3.0
427112,Genesis,6,6,hbo,1,8,8.0
427113,Genesis,6,6,hbo,1,4,4.0
427114,Genesis,6,7,hbo,1,3,3.0
427116,Genesis,6,7,hbo,2,22,11.0
427117,Genesis,6,7,hbo,1,2,2.0
427118,Genesis,6,7,hbo,1,2,2.0
427119,Genesis,6,8,hbo,1,7,7.0
427120,Genesis,6,9,hbo,1,3,3.0
427121,Genesis,6,9,hbo,1,7,7.0
427122,Genesis,6,9,hbo,1,5,5.0
427123,Genesis,6,10,hbo,1,12,12.0
427124,Genesis,6,11,hbo,1,8,8.0
427125,Genesis,6,11,hbo,1,5,5.0
427126,Genesis,6,12,hbo,1,6,6.0
427127,Genesis,6,12,hbo,1,3,3.0
427128,Genesis,6,12,hbo,1,9,9.0
427129,Genesis,6,13,hbo,1,5,5.0
427130,Genesis,6,13,hbo,1,6,6.0
427131,Genesis,6,13,hbo,1,7,7.0
427132,Genesis,6,13,hbo,1,6,6.0
427133,Genesis,6,14,hbo,1,5,5.0
427134,Genesis,6,14,hbo,1,5,5.0
427135,Genesis,6,14,hbo,1,11,11.0
427137,Genesis,6,15,hbo,2,5,2.5
427138,Genesis,6,15,hbo,1,6,6.0
427139,Genesis,6,15,hbo,1,3,3.0
427140,Genesis,6,15,hbo,1,4,4.0
427141,Genesis,6,16,hbo,1,5,5.0
427142,Genesis,6,16,hbo,1,7,7.0
427143,Genesis,6,16,hbo,1,7,7.0
427144,Genesis,6,16,hbo,1,5,5.0
427148,Genesis,6,17,hbo,4,23,5.75
427150,Genesis,6,17,hbo,2,6,3.0
427151,Genesis,6,18,hbo,1,5,5.0
427152,Genesis,6,18,hbo,1,14,14.0
427156,Genesis,6,19,hbo,4,22,5.5
427159,Genesis,6,20,hbo,3,25,8.333333333333334
427162,Genesis,6,21,hbo,3,12,4.0
427163,Genesis,6,21,hbo,1,7,7.0
427165,Genesis,6,22,hbo,2,9,4.5
427166,Genesis,6,22,hbo,1,2,2.0
