id,book,chapter,verse,language,sentence_length,number_words,clause_length
15853,1QS,6,14,Hebrew,1,5,5.0
15854,1QS,6,14,Hebrew,1,9,9.0
15857,1QS,6,14,Hebrew,3,16,5.333333333333333
15860,1QS,6,15,Hebrew,2,21,10.5
15859,1QS,6,15,Hebrew,1,4,4.0
15861,1QS,6,16,Hebrew,1,6,6.0
15862,1QS,6,16,Hebrew,1,7,7.0
15863,1QS,6,16,Hebrew,1,3,3.0
15864,1QS,6,17,Hebrew,1,17,17.0
15865,1QS,6,18,Hebrew,1,9,9.0
15870,1QS,6,21,Hebrew,2,31,15.5
15869,1QS,6,20,Hebrew,3,38,12.666666666666666
15872,1QS,6,21,Hebrew,2,13,6.5
15873,1QS,6,22,Hebrew,1,11,11.0
15876,1QS,6,23,Hebrew,3,23,7.666666666666667
15880,1QS,6,24,Hebrew,4,24,6.0
15882,1QS,6,25,Hebrew,2,15,7.5
15886,1QS,6,26,Hebrew,4,24,6.0
15888,1QS,6,27,Hebrew,2,24,12.0
15890,1QS,6,28,Hebrew,2,14,7.0
15893,1QS,6,28,Hebrew,3,17,5.666666666666667
15905,1QS,6,30,Hebrew,12,46,3.8333333333333335
15907,1QS,6,30,Hebrew,2,7,3.5
15908,1QS,6,30,Hebrew,1,7,7.0
15911,1QS,6,31,Hebrew,3,12,4.0
15912,1QS,6,31,Hebrew,1,12,12.0
15915,1QS,6,31,Hebrew,3,19,6.333333333333333
15916,1QS,6,31,Hebrew,1,5,5.0
15917,1QS,6,31,Hebrew,1,15,15.0
15920,1QS,6,31,Hebrew,3,13,4.333333333333333
15922,1QS,6,32,Hebrew,2,8,4.0
15924,1QS,6,33,Hebrew,2,7,3.5
15925,1QS,6,33,Hebrew,1,7,7.0
15926,1QS,6,33,Hebrew,1,5,5.0
15927,1QS,6,33,Hebrew,1,8,8.0
15928,1QS,6,34,Hebrew,1,19,19.0
15929,1QS,6,35,Hebrew,1,8,8.0
15931,1QS,6,35,Hebrew,2,15,7.5
15933,1QS,6,35,Hebrew,2,8,4.0
15935,1QS,6,36,Hebrew,2,14,7.0
15937,1QS,6,36,Hebrew,2,15,7.5
15939,1QS,6,37,Hebrew,2,9,4.5
15940,1QS,6,37,Hebrew,1,6,6.0
15941,1QS,6,38,Hebrew,1,7,7.0
15943,1QS,6,38,Hebrew,2,8,4.0
15944,1QS,6,38,Hebrew,1,6,6.0
15946,1QS,6,38,Hebrew,2,4,2.0
15948,1QS,6,38,Hebrew,2,6,3.0
15950,1QS,7,1,Hebrew,2,9,4.5
15963,1QS,7,5,Hebrew,11,72,6.545454545454546
15955,1QS,7,2,Hebrew,2,9,4.5
15964,1QS,7,6,Hebrew,1,7,7.0
15969,1QS,7,8,Hebrew,5,70,14.0
15971,1QS,7,9,Hebrew,2,17,8.5
15972,1QS,7,10,Hebrew,1,3,3.0
15973,1QS,7,10,Hebrew,1,7,7.0
15974,1QS,7,10,Hebrew,1,8,8.0
15975,1QS,7,10,Hebrew,1,9,9.0
15976,1QS,7,11,Hebrew,1,9,9.0
15977,1QS,7,11,Hebrew,1,9,9.0
15980,1QS,7,12,Hebrew,3,10,3.3333333333333335
15981,1QS,7,13,Hebrew,1,17,17.0
15984,1QS,7,14,Hebrew,2,7,3.5
15983,1QS,7,14,Hebrew,1,2,2.0
15986,1QS,7,14,Hebrew,2,16,8.0
15988,1QS,7,15,Hebrew,2,5,2.5
15990,1QS,7,15,Hebrew,2,6,3.0
15996,1QS,7,16,Hebrew,2,19,9.5
15995,1QS,7,16,Hebrew,4,9,2.25
15997,1QS,7,17,Hebrew,1,10,10.0
15999,1QS,7,18,Hebrew,2,12,6.0
16001,1QS,7,19,Hebrew,2,16,8.0
16002,1QS,7,19,Hebrew,1,5,5.0
16003,1QS,7,19,Hebrew,1,8,8.0
16006,1QS,7,20,Hebrew,3,14,4.666666666666667
16008,1QS,7,21,Hebrew,2,6,3.0
16009,1QS,7,21,Hebrew,1,6,6.0
16019,1QS,7,26,Hebrew,2,10,5.0
16011,1QS,7,22,Hebrew,1,4,4.0
16012,1QS,7,23,Hebrew,1,6,6.0
16013,1QS,7,23,Hebrew,1,8,8.0
16014,1QS,7,24,Hebrew,1,5,5.0
16015,1QS,7,24,Hebrew,1,8,8.0
16016,1QS,7,25,Hebrew,1,9,9.0
16017,1QS,7,26,Hebrew,1,8,8.0
16018,1QS,7,26,Hebrew,1,3,3.0
16021,1QS,7,27,Hebrew,2,7,3.5
16023,1QS,7,27,Hebrew,2,7,3.5
16024,1QS,7,27,Hebrew,1,8,8.0
16025,1QS,7,28,Hebrew,1,7,7.0
16026,1QS,7,28,Hebrew,1,7,7.0
16027,1QS,7,29,Hebrew,1,12,12.0
16028,1QS,7,29,Hebrew,1,6,6.0
16029,1QS,7,29,Hebrew,1,6,6.0
16030,1QS,7,30,Hebrew,1,5,5.0
16032,1QS,7,30,Hebrew,2,14,7.0
16034,1QS,7,31,Hebrew,2,12,6.0
16037,1QS,7,32,Hebrew,2,14,7.0
